Datum von;Datum bis;Netzlast [MWh] Originalauflösungen;Netzlast inkl. Pumpspeicher [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen
01.12.2024 00:00;01.12.2024 00:15;11.879,50;11.952,25;72,75;8.307,25
01.12.2024 00:15;01.12.2024 00:30;11.701,75;11.791,50;89,75;8.191,50
01.12.2024 00:30;01.12.2024 00:45;11.577,50;11.673,25;95,75;8.124,25
01.12.2024 00:45;01.12.2024 01:00;11.446,00;11.544,00;98,00;8.072,50
01.12.2024 01:00;01.12.2024 01:15;11.299,00;11.433,25;134,25;7.969,50
01.12.2024 01:15;01.12.2024 01:30;11.192,50;11.406,75;214,25;7.900,75
01.12.2024 01:30;01.12.2024 01:45;11.112,75;11.304,50;191,75;7.866,00
01.12.2024 01:45;01.12.2024 02:00;11.052,50;11.308,75;256,25;7.837,00
01.12.2024 02:00;01.12.2024 02:15;10.981,00;11.356,00;375,00;7.814,50
01.12.2024 02:15;01.12.2024 02:30;10.891,50;11.324,00;432,50;7.750,50
01.12.2024 02:30;01.12.2024 02:45;10.816,25;11.264,50;448,25;7.662,75
01.12.2024 02:45;01.12.2024 03:00;10.819,75;11.291,25;471,50;7.690,00
01.12.2024 03:00;01.12.2024 03:15;10.885,25;11.393,50;508,25;7.810,50
01.12.2024 03:15;01.12.2024 03:30;10.788,75;11.315,25;526,50;7.730,00
01.12.2024 03:30;01.12.2024 03:45;10.764,25;11.277,75;513,50;7.736,75
01.12.2024 03:45;01.12.2024 04:00;10.829,25;11.324,25;495,00;7.837,25
01.12.2024 04:00;01.12.2024 04:15;10.958,50;11.591,00;632,50;7.977,75
01.12.2024 04:15;01.12.2024 04:30;10.913,50;11.565,50;652,00;7.969,25
01.12.2024 04:30;01.12.2024 04:45;10.928,75;11.568,00;639,25;8.031,25
01.12.2024 04:45;01.12.2024 05:00;10.911,75;11.549,50;637,75;8.069,50
01.12.2024 05:00;01.12.2024 05:15;10.993,75;11.573,00;579,25;8.205,75
01.12.2024 05:15;01.12.2024 05:30;10.987,50;11.581,50;594,00;8.219,00
01.12.2024 05:30;01.12.2024 05:45;10.965,25;11.548,25;583,00;8.188,50
01.12.2024 05:45;01.12.2024 06:00;11.006,50;11.582,75;576,25;8.223,25
01.12.2024 06:00;01.12.2024 06:15;11.050,25;11.391,50;341,25;8.190,25
01.12.2024 06:15;01.12.2024 06:30;11.065,75;11.280,50;214,75;8.194,50
01.12.2024 06:30;01.12.2024 06:45;11.059,75;11.178,25;118,50;8.198,75
01.12.2024 06:45;01.12.2024 07:00;11.144,75;11.281,00;136,25;8.285,25
01.12.2024 07:00;01.12.2024 07:15;11.298,25;11.364,25;66,00;8.419,00
01.12.2024 07:15;01.12.2024 07:30;11.436,50;11.442,75;6,25;8.534,00
01.12.2024 07:30;01.12.2024 07:45;11.520,25;11.523,75;3,50;8.567,50
01.12.2024 07:45;01.12.2024 08:00;11.659,00;11.662,25;3,25;8.625,25
01.12.2024 08:00;01.12.2024 08:15;11.902,75;11.906,00;3,25;8.729,75
01.12.2024 08:15;01.12.2024 08:30;12.172,50;12.175,50;3,00;8.724,50
01.12.2024 08:30;01.12.2024 08:45;12.336,75;12.339,25;2,50;8.576,25
01.12.2024 08:45;01.12.2024 09:00;12.526,75;12.529,25;2,50;8.531,00
01.12.2024 09:00;01.12.2024 09:15;12.662,25;12.666,50;4,25;8.395,75
01.12.2024 09:15;01.12.2024 09:30;12.886,25;12.945,75;59,50;8.319,25
01.12.2024 09:30;01.12.2024 09:45;13.086,50;13.146,25;59,75;8.188,25
01.12.2024 09:45;01.12.2024 10:00;13.210,50;13.379,75;169,25;7.961,50
01.12.2024 10:00;01.12.2024 10:15;13.315,00;13.383,00;68,00;7.765,50
01.12.2024 10:15;01.12.2024 10:30;13.475,00;13.658,50;183,50;7.678,00
01.12.2024 10:30;01.12.2024 10:45;13.669,50;14.059,00;389,50;7.675,50
01.12.2024 10:45;01.12.2024 11:00;13.887,25;14.405,75;518,50;7.761,25
01.12.2024 11:00;01.12.2024 11:15;14.003,75;14.404,50;400,75;7.802,75
01.12.2024 11:15;01.12.2024 11:30;14.147,75;14.558,00;410,25;7.908,00
01.12.2024 11:30;01.12.2024 11:45;14.246,00;14.634,25;388,25;8.015,75
01.12.2024 11:45;01.12.2024 12:00;14.162,75;14.521,50;358,75;7.933,75
01.12.2024 12:00;01.12.2024 12:15;14.031,50;14.215,00;183,50;7.816,00
01.12.2024 12:15;01.12.2024 12:30;14.014,50;14.209,75;195,25;7.860,00
01.12.2024 12:30;01.12.2024 12:45;14.000,00;14.186,75;186,75;7.938,50
01.12.2024 12:45;01.12.2024 13:00;13.804,25;13.980,00;175,75;7.889,25
01.12.2024 13:00;01.12.2024 13:15;13.739,50;13.876,00;136,50;8.002,25
01.12.2024 13:15;01.12.2024 13:30;13.536,50;13.688,75;152,25;8.016,50
01.12.2024 13:30;01.12.2024 13:45;13.472,00;13.616,00;144,00;8.212,75
01.12.2024 13:45;01.12.2024 14:00;13.387,75;13.491,75;104,00;8.414,00
01.12.2024 14:00;01.12.2024 14:15;13.305,00;13.372,75;67,75;8.593,00
01.12.2024 14:15;01.12.2024 14:30;13.187,25;13.201,50;14,25;8.729,25
01.12.2024 14:30;01.12.2024 14:45;13.172,00;13.173,75;1,75;8.941,75
01.12.2024 14:45;01.12.2024 15:00;13.193,00;13.195,50;2,50;9.209,25
01.12.2024 15:00;01.12.2024 15:15;13.259,50;13.262,00;2,50;9.452,75
01.12.2024 15:15;01.12.2024 15:30;13.310,75;13.313,00;2,25;9.559,00
01.12.2024 15:30;01.12.2024 15:45;13.450,50;13.451,75;1,25;9.601,50
01.12.2024 15:45;01.12.2024 16:00;13.557,75;13.558,50;0,75;9.481,25
01.12.2024 16:00;01.12.2024 16:15;13.748,25;13.749,75;1,50;9.355,75
01.12.2024 16:15;01.12.2024 16:30;13.946,25;13.972,25;26,00;9.147,75
01.12.2024 16:30;01.12.2024 16:45;14.211,75;14.253,75;42,00;9.068,50
01.12.2024 16:45;01.12.2024 17:00;14.543,75;14.559,00;15,25;9.141,75
01.12.2024 17:00;01.12.2024 17:15;14.783,00;14.785,00;2,00;9.129,25
01.12.2024 17:15;01.12.2024 17:30;14.820,00;14.822,00;2,00;8.964,50
01.12.2024 17:30;01.12.2024 17:45;14.907,50;14.909,50;2,00;8.833,75
01.12.2024 17:45;01.12.2024 18:00;15.030,75;15.033,00;2,25;8.726,25
01.12.2024 18:00;01.12.2024 18:15;15.065,25;15.068,00;2,75;8.626,50
01.12.2024 18:15;01.12.2024 18:30;15.097,75;15.128,00;30,25;8.522,50
01.12.2024 18:30;01.12.2024 18:45;15.047,25;15.073,75;26,50;8.372,25
01.12.2024 18:45;01.12.2024 19:00;15.047,25;15.076,75;29,50;8.236,50
01.12.2024 19:00;01.12.2024 19:15;14.989,25;14.993,50;4,25;8.126,75
01.12.2024 19:15;01.12.2024 19:30;14.917,25;14.921,25;4,00;8.008,00
01.12.2024 19:30;01.12.2024 19:45;14.851,75;14.858,50;6,75;7.861,25
01.12.2024 19:45;01.12.2024 20:00;14.687,00;14.770,75;83,75;7.584,25
01.12.2024 20:00;01.12.2024 20:15;14.557,25;14.646,25;89,00;7.329,00
01.12.2024 20:15;01.12.2024 20:30;14.429,50;14.691,50;262,00;7.155,25
01.12.2024 20:30;01.12.2024 20:45;14.354,25;14.773,25;419,00;7.011,75
01.12.2024 20:45;01.12.2024 21:00;14.180,25;14.670,75;490,50;6.786,25
01.12.2024 21:00;01.12.2024 21:15;14.073,75;14.278,00;204,25;6.690,50
01.12.2024 21:15;01.12.2024 21:30;14.103,00;14.490,00;387,00;6.739,50
01.12.2024 21:30;01.12.2024 21:45;13.976,75;14.444,75;468,00;6.582,75
01.12.2024 21:45;01.12.2024 22:00;13.930,50;14.473,75;543,25;6.477,00
01.12.2024 22:00;01.12.2024 22:15;13.874,50;14.209,00;334,50;6.713,50
01.12.2024 22:15;01.12.2024 22:30;13.789,50;14.295,50;506,00;6.675,25
01.12.2024 22:30;01.12.2024 22:45;13.638,25;14.288,25;650,00;6.548,00
01.12.2024 22:45;01.12.2024 23:00;13.501,75;14.276,50;774,75;6.437,50
01.12.2024 23:00;01.12.2024 23:15;13.342,75;14.000,50;657,75;6.302,00
01.12.2024 23:15;01.12.2024 23:30;13.157,25;13.942,00;784,75;6.173,75
01.12.2024 23:30;01.12.2024 23:45;13.019,00;13.895,00;876,00;6.035,00
01.12.2024 23:45;02.12.2024 00:00;12.797,75;13.790,50;992,75;5.872,75
02.12.2024 00:00;02.12.2024 00:15;12.560,75;13.476,75;916,00;5.433,75
02.12.2024 00:15;02.12.2024 00:30;12.432,25;13.475,25;1.043,00;5.320,25
02.12.2024 00:30;02.12.2024 00:45;12.353,75;13.445,50;1.091,75;5.334,25
02.12.2024 00:45;02.12.2024 01:00;12.220,50;13.380,00;1.159,50;5.220,50
02.12.2024 01:00;02.12.2024 01:15;12.122,75;13.239,25;1.116,50;5.183,75
02.12.2024 01:15;02.12.2024 01:30;12.051,75;13.311,50;1.259,75;5.144,00
02.12.2024 01:30;02.12.2024 01:45;12.019,25;13.331,25;1.312,00;5.121,25
02.12.2024 01:45;02.12.2024 02:00;11.993,00;13.311,00;1.318,00;5.104,25
02.12.2024 02:00;02.12.2024 02:15;12.005,00;13.416,00;1.411,00;5.220,75
02.12.2024 02:15;02.12.2024 02:30;11.994,25;13.423,25;1.429,00;5.268,75
02.12.2024 02:30;02.12.2024 02:45;11.932,25;13.359,50;1.427,25;5.270,25
02.12.2024 02:45;02.12.2024 03:00;11.929,00;13.319,25;1.390,25;5.345,50
02.12.2024 03:00;02.12.2024 03:15;11.961,50;13.381,75;1.420,25;5.461,25
02.12.2024 03:15;02.12.2024 03:30;11.973,25;13.394,25;1.421,00;5.516,25
02.12.2024 03:30;02.12.2024 03:45;11.993,50;13.416,75;1.423,25;5.523,00
02.12.2024 03:45;02.12.2024 04:00;12.102,75;13.496,25;1.393,50;5.613,25
02.12.2024 04:00;02.12.2024 04:15;12.323,50;13.717,50;1.394,00;5.822,25
02.12.2024 04:15;02.12.2024 04:30;12.412,50;13.831,75;1.419,25;5.916,50
02.12.2024 04:30;02.12.2024 04:45;12.439,25;13.816,00;1.376,75;5.986,75
02.12.2024 04:45;02.12.2024 05:00;12.521,75;13.883,75;1.362,00;6.142,75
02.12.2024 05:00;02.12.2024 05:15;13.076,00;14.475,50;1.399,50;6.696,50
02.12.2024 05:15;02.12.2024 05:30;13.137,00;14.471,25;1.334,25;6.770,00
02.12.2024 05:30;02.12.2024 05:45;13.449,50;14.536,75;1.087,25;7.043,00
02.12.2024 05:45;02.12.2024 06:00;13.729,00;14.558,25;829,25;7.309,00
02.12.2024 06:00;02.12.2024 06:15;14.337,00;14.917,25;580,25;7.793,75
02.12.2024 06:15;02.12.2024 06:30;14.906,75;15.141,75;235,00;8.381,25
02.12.2024 06:30;02.12.2024 06:45;15.266,00;15.324,50;58,50;8.740,50
02.12.2024 06:45;02.12.2024 07:00;15.696,25;15.708,25;12,00;9.184,00
02.12.2024 07:00;02.12.2024 07:15;16.259,25;16.273,00;13,75;9.840,75
02.12.2024 07:15;02.12.2024 07:30;16.540,75;16.546,75;6,00;10.076,25
02.12.2024 07:30;02.12.2024 07:45;16.781,00;16.783,00;2,00;10.207,50
02.12.2024 07:45;02.12.2024 08:00;17.007,00;17.009,25;2,25;10.414,00
02.12.2024 08:00;02.12.2024 08:15;17.164,00;17.165,75;1,75;10.541,00
02.12.2024 08:15;02.12.2024 08:30;17.338,00;17.340,00;2,00;10.639,25
02.12.2024 08:30;02.12.2024 08:45;17.465,75;17.467,50;1,75;10.687,25
02.12.2024 08:45;02.12.2024 09:00;17.515,50;17.516,75;1,25;10.689,50
02.12.2024 09:00;02.12.2024 09:15;17.374,50;17.375,00;0,50;10.492,50
02.12.2024 09:15;02.12.2024 09:30;17.389,50;17.390,00;0,50;10.450,00
02.12.2024 09:30;02.12.2024 09:45;17.527,00;17.527,25;0,25;10.487,75
02.12.2024 09:45;02.12.2024 10:00;17.574,50;17.575,00;0,50;10.467,75
02.12.2024 10:00;02.12.2024 10:15;17.539,00;17.541,50;2,50;10.348,75
02.12.2024 10:15;02.12.2024 10:30;17.459,50;17.462,25;2,75;10.195,00
02.12.2024 10:30;02.12.2024 10:45;17.519,25;17.522,00;2,75;10.153,75
02.12.2024 10:45;02.12.2024 11:00;17.611,25;17.612,75;1,50;10.195,00
02.12.2024 11:00;02.12.2024 11:15;17.678,00;17.679,75;1,75;10.204,00
02.12.2024 11:15;02.12.2024 11:30;17.674,75;17.676,50;1,75;10.184,50
02.12.2024 11:30;02.12.2024 11:45;17.636,75;17.638,25;1,50;10.196,75
02.12.2024 11:45;02.12.2024 12:00;17.709,75;17.724,75;15,00;10.264,00
02.12.2024 12:00;02.12.2024 12:15;17.633,25;17.651,25;18,00;10.247,50
02.12.2024 12:15;02.12.2024 12:30;17.641,50;17.659,50;18,00;10.320,25
02.12.2024 12:30;02.12.2024 12:45;17.600,75;17.618,50;17,75;10.369,50
02.12.2024 12:45;02.12.2024 13:00;17.585,75;17.599,50;13,75;10.539,75
02.12.2024 13:00;02.12.2024 13:15;17.598,75;17.601,25;2,50;10.693,00
02.12.2024 13:15;02.12.2024 13:30;17.499,50;17.502,25;2,75;10.754,50
02.12.2024 13:30;02.12.2024 13:45;17.355,50;17.359,00;3,50;10.788,75
02.12.2024 13:45;02.12.2024 14:00;17.215,00;17.218,25;3,25;10.811,25
02.12.2024 14:00;02.12.2024 14:15;17.139,50;17.142,50;3,00;10.926,75
02.12.2024 14:15;02.12.2024 14:30;17.111,50;17.114,50;3,00;11.100,00
02.12.2024 14:30;02.12.2024 14:45;17.045,00;17.048,00;3,00;11.226,00
02.12.2024 14:45;02.12.2024 15:00;17.004,00;17.006,25;2,25;11.493,00
02.12.2024 15:00;02.12.2024 15:15;17.102,50;17.105,00;2,50;11.749,75
02.12.2024 15:15;02.12.2024 15:30;16.994,25;16.996,50;2,25;11.766,00
02.12.2024 15:30;02.12.2024 15:45;16.961,50;16.963,75;2,25;11.859,00
02.12.2024 15:45;02.12.2024 16:00;16.922,75;16.925,00;2,25;11.880,75
02.12.2024 16:00;02.12.2024 16:15;17.092,25;17.094,50;2,25;12.067,50
02.12.2024 16:15;02.12.2024 16:30;17.162,75;17.164,75;2,00;12.141,50
02.12.2024 16:30;02.12.2024 16:45;17.317,50;17.319,50;2,00;12.333,00
02.12.2024 16:45;02.12.2024 17:00;17.467,50;17.469,50;2,00;12.443,50
02.12.2024 17:00;02.12.2024 17:15;17.614,75;17.615,75;1,00;12.601,75
02.12.2024 17:15;02.12.2024 17:30;17.595,75;17.596,50;0,75;12.632,25
02.12.2024 17:30;02.12.2024 17:45;17.704,00;17.705,00;1,00;12.719,75
02.12.2024 17:45;02.12.2024 18:00;17.718,00;17.718,75;0,75;12.659,75
02.12.2024 18:00;02.12.2024 18:15;17.489,50;17.490,50;1,00;12.406,25
02.12.2024 18:15;02.12.2024 18:30;17.397,25;17.398,50;1,25;12.277,00
02.12.2024 18:30;02.12.2024 18:45;17.438,50;17.440,25;1,75;12.339,75
02.12.2024 18:45;02.12.2024 19:00;17.397,50;17.398,75;1,25;12.328,25
02.12.2024 19:00;02.12.2024 19:15;17.242,00;17.243,25;1,25;12.213,00
02.12.2024 19:15;02.12.2024 19:30;17.037,75;17.038,75;1,00;12.038,25
02.12.2024 19:30;02.12.2024 19:45;16.869,25;16.870,50;1,25;11.935,00
02.12.2024 19:45;02.12.2024 20:00;16.773,25;16.857,00;83,75;11.875,50
02.12.2024 20:00;02.12.2024 20:15;16.413,00;16.451,25;38,25;11.505,50
02.12.2024 20:15;02.12.2024 20:30;16.115,00;16.160,50;45,50;11.233,50
02.12.2024 20:30;02.12.2024 20:45;15.901,25;15.961,00;59,75;11.052,75
02.12.2024 20:45;02.12.2024 21:00;15.637,75;15.777,25;139,50;10.778,00
02.12.2024 21:00;02.12.2024 21:15;15.539,50;15.587,00;47,50;10.680,50
02.12.2024 21:15;02.12.2024 21:30;15.240,25;15.301,75;61,50;10.409,00
02.12.2024 21:30;02.12.2024 21:45;15.040,50;15.146,00;105,50;10.244,50
02.12.2024 21:45;02.12.2024 22:00;14.779,00;15.130,50;351,50;9.979,25
02.12.2024 22:00;02.12.2024 22:15;14.620,50;14.709,00;88,50;9.918,50
02.12.2024 22:15;02.12.2024 22:30;14.302,50;14.442,75;140,25;9.632,75
02.12.2024 22:30;02.12.2024 22:45;14.018,00;14.118,00;100,00;9.343,75
02.12.2024 22:45;02.12.2024 23:00;13.750,75;14.012,75;262,00;9.008,75
02.12.2024 23:00;02.12.2024 23:15;13.567,50;14.130,00;562,50;8.734,50
02.12.2024 23:15;02.12.2024 23:30;13.305,75;13.985,00;679,25;8.489,25
02.12.2024 23:30;02.12.2024 23:45;13.101,75;13.794,00;692,25;8.306,00
02.12.2024 23:45;03.12.2024 00:00;12.915,00;13.753,75;838,75;8.089,50
03.12.2024 00:00;03.12.2024 00:15;12.639,75;13.394,00;754,25;7.797,75
03.12.2024 00:15;03.12.2024 00:30;12.541,50;13.490,75;949,25;7.681,00
03.12.2024 00:30;03.12.2024 00:45;12.561,00;13.636,00;1.075,00;7.630,25
03.12.2024 00:45;03.12.2024 01:00;12.347,00;13.602,25;1.255,25;7.239,75
03.12.2024 01:00;03.12.2024 01:15;12.304,50;13.601,25;1.296,75;7.111,25
03.12.2024 01:15;03.12.2024 01:30;12.248,25;13.626,00;1.377,75;6.924,25
03.12.2024 01:30;03.12.2024 01:45;12.296,00;13.691,75;1.395,75;6.865,75
03.12.2024 01:45;03.12.2024 02:00;12.275,50;13.670,00;1.394,50;6.793,75
03.12.2024 02:00;03.12.2024 02:15;12.149,75;13.650,00;1.500,25;6.706,00
03.12.2024 02:15;03.12.2024 02:30;12.053,00;13.561,75;1.508,75;6.589,25
03.12.2024 02:30;03.12.2024 02:45;12.065,50;13.576,25;1.510,75;6.596,75
03.12.2024 02:45;03.12.2024 03:00;12.124,75;13.605,75;1.481,00;6.706,00
03.12.2024 03:00;03.12.2024 03:15;12.075,25;13.563,50;1.488,25;6.730,25
03.12.2024 03:15;03.12.2024 03:30;12.032,00;13.509,00;1.477,00;6.734,25
03.12.2024 03:30;03.12.2024 03:45;12.097,50;13.577,50;1.480,00;6.837,75
03.12.2024 03:45;03.12.2024 04:00;12.145,00;13.636,00;1.491,00;6.881,75
03.12.2024 04:00;03.12.2024 04:15;12.351,00;13.811,00;1.460,00;7.147,00
03.12.2024 04:15;03.12.2024 04:30;12.429,75;13.869,00;1.439,25;7.251,25
03.12.2024 04:30;03.12.2024 04:45;12.631,50;14.021,50;1.390,00;7.509,50
03.12.2024 04:45;03.12.2024 05:00;12.732,75;14.074,00;1.341,25;7.624,00
03.12.2024 05:00;03.12.2024 05:15;13.004,25;14.199,50;1.195,25;7.909,50
03.12.2024 05:15;03.12.2024 05:30;13.186,00;14.416,25;1.230,25;8.100,50
03.12.2024 05:30;03.12.2024 05:45;13.526,25;14.632,00;1.105,75;8.411,50
03.12.2024 05:45;03.12.2024 06:00;13.983,50;14.895,75;912,25;8.887,25
03.12.2024 06:00;03.12.2024 06:15;14.758,25;15.782,25;1.024,00;9.427,00
03.12.2024 06:15;03.12.2024 06:30;15.220,25;15.945,75;725,50;9.849,75
03.12.2024 06:30;03.12.2024 06:45;15.594,00;15.935,25;341,25;10.228,00
03.12.2024 06:45;03.12.2024 07:00;15.983,00;16.171,50;188,50;10.632,75
03.12.2024 07:00;03.12.2024 07:15;16.417,25;16.526,50;109,25;11.101,25
03.12.2024 07:15;03.12.2024 07:30;16.668,00;16.739,00;71,00;11.280,75
03.12.2024 07:30;03.12.2024 07:45;16.803,50;16.814,50;11,00;11.463,50
03.12.2024 07:45;03.12.2024 08:00;16.987,00;16.991,50;4,50;11.593,75
03.12.2024 08:00;03.12.2024 08:15;17.232,75;17.244,75;12,00;11.776,75
03.12.2024 08:15;03.12.2024 08:30;17.473,50;17.478,50;5,00;12.025,00
03.12.2024 08:30;03.12.2024 08:45;17.585,50;17.593,50;8,00;12.177,50
03.12.2024 08:45;03.12.2024 09:00;17.489,25;17.494,75;5,50;12.021,00
03.12.2024 09:00;03.12.2024 09:15;17.383,50;17.389,50;6,00;11.661,50
03.12.2024 09:15;03.12.2024 09:30;17.468,00;17.474,00;6,00;11.607,50
03.12.2024 09:30;03.12.2024 09:45;17.530,50;17.558,50;28,00;11.585,50
03.12.2024 09:45;03.12.2024 10:00;17.434,25;17.495,50;61,25;11.452,00
03.12.2024 10:00;03.12.2024 10:15;17.566,00;17.616,75;50,75;11.502,00
03.12.2024 10:15;03.12.2024 10:30;17.617,50;17.685,00;67,50;11.443,25
03.12.2024 10:30;03.12.2024 10:45;17.534,00;17.730,50;196,50;11.271,75
03.12.2024 10:45;03.12.2024 11:00;17.555,25;17.710,75;155,50;11.256,50
03.12.2024 11:00;03.12.2024 11:15;17.485,50;17.628,00;142,50;11.158,25
03.12.2024 11:15;03.12.2024 11:30;17.504,75;17.720,50;215,75;11.333,75
03.12.2024 11:30;03.12.2024 11:45;17.381,00;17.515,00;134,00;11.136,50
03.12.2024 11:45;03.12.2024 12:00;17.419,25;17.579,00;159,75;11.134,50
03.12.2024 12:00;03.12.2024 12:15;17.378,25;17.682,75;304,50;11.184,25
03.12.2024 12:15;03.12.2024 12:30;17.343,25;17.595,75;252,50;11.217,50
03.12.2024 12:30;03.12.2024 12:45;17.347,00;17.559,25;212,25;11.379,25
03.12.2024 12:45;03.12.2024 13:00;17.276,75;17.432,75;156,00;11.518,00
03.12.2024 13:00;03.12.2024 13:15;17.326,00;17.431,00;105,00;11.799,50
03.12.2024 13:15;03.12.2024 13:30;17.281,25;17.340,00;58,75;11.843,75
03.12.2024 13:30;03.12.2024 13:45;17.215,00;17.273,25;58,25;11.985,50
03.12.2024 13:45;03.12.2024 14:00;17.169,00;17.225,75;56,75;12.205,75
03.12.2024 14:00;03.12.2024 14:15;17.069,00;17.125,25;56,25;12.356,50
03.12.2024 14:15;03.12.2024 14:30;17.010,25;17.073,25;63,00;12.538,00
03.12.2024 14:30;03.12.2024 14:45;17.011,00;17.031,00;20,00;12.748,25
03.12.2024 14:45;03.12.2024 15:00;16.984,00;16.994,25;10,25;12.860,75
03.12.2024 15:00;03.12.2024 15:15;16.918,00;16.920,75;2,75;12.873,25
03.12.2024 15:15;03.12.2024 15:30;16.825,25;16.827,75;2,50;12.888,75
03.12.2024 15:30;03.12.2024 15:45;16.833,50;16.836,00;2,50;12.998,00
03.12.2024 15:45;03.12.2024 16:00;16.880,75;16.883,75;3,00;13.130,00
03.12.2024 16:00;03.12.2024 16:15;16.930,00;16.931,50;1,50;13.303,50
03.12.2024 16:15;03.12.2024 16:30;16.916,50;16.918,00;1,50;13.325,25
03.12.2024 16:30;03.12.2024 16:45;17.101,50;17.102,25;0,75;13.486,25
03.12.2024 16:45;03.12.2024 17:00;17.186,75;17.187,50;0,75;13.573,00
03.12.2024 17:00;03.12.2024 17:15;17.359,75;17.360,25;0,50;13.773,25
03.12.2024 17:15;03.12.2024 17:30;17.426,50;17.427,00;0,50;13.893,00
03.12.2024 17:30;03.12.2024 17:45;17.467,00;17.467,25;0,25;13.939,75
03.12.2024 17:45;03.12.2024 18:00;17.481,00;17.481,25;0,25;13.957,75
03.12.2024 18:00;03.12.2024 18:15;17.329,25;17.329,50;0,25;13.828,25
03.12.2024 18:15;03.12.2024 18:30;17.231,50;17.231,50;0,00;13.761,50
03.12.2024 18:30;03.12.2024 18:45;17.186,75;17.186,75;0,00;13.766,50
03.12.2024 18:45;03.12.2024 19:00;17.135,50;17.135,50;0,00;13.753,75
03.12.2024 19:00;03.12.2024 19:15;17.002,25;17.002,50;0,25;13.697,25
03.12.2024 19:15;03.12.2024 19:30;16.813,50;16.813,75;0,25;13.552,25
03.12.2024 19:30;03.12.2024 19:45;16.702,25;16.703,50;1,25;13.484,25
03.12.2024 19:45;03.12.2024 20:00;16.549,00;16.551,50;2,50;13.408,00
03.12.2024 20:00;03.12.2024 20:15;16.330,25;16.334,25;4,00;13.300,75
03.12.2024 20:15;03.12.2024 20:30;16.115,25;16.118,75;3,50;13.165,50
03.12.2024 20:30;03.12.2024 20:45;15.849,75;15.853,75;4,00;12.991,50
03.12.2024 20:45;03.12.2024 21:00;15.638,50;15.645,25;6,75;12.825,00
03.12.2024 21:00;03.12.2024 21:15;15.433,25;15.480,25;47,00;12.679,25
03.12.2024 21:15;03.12.2024 21:30;15.199,50;15.261,75;62,25;12.462,50
03.12.2024 21:30;03.12.2024 21:45;15.039,00;15.107,00;68,00;12.285,25
03.12.2024 21:45;03.12.2024 22:00;14.840,25;14.925,50;85,25;12.093,75
03.12.2024 22:00;03.12.2024 22:15;14.756,75;14.935,50;178,75;12.045,00
03.12.2024 22:15;03.12.2024 22:30;14.591,50;14.818,25;226,75;11.845,75
03.12.2024 22:30;03.12.2024 22:45;14.440,25;14.637,00;196,75;11.715,75
03.12.2024 22:45;03.12.2024 23:00;14.179,25;14.464,00;284,75;11.513,50
03.12.2024 23:00;03.12.2024 23:15;13.951,75;14.681,50;729,75;11.325,75
03.12.2024 23:15;03.12.2024 23:30;13.795,00;14.654,75;859,75;11.203,00
03.12.2024 23:30;03.12.2024 23:45;13.477,50;14.324,75;847,25;10.953,25
03.12.2024 23:45;04.12.2024 00:00;13.397,00;14.372,00;975,00;10.906,75
04.12.2024 00:00;04.12.2024 00:15;13.171,00;13.763,25;592,25;10.677,00
04.12.2024 00:15;04.12.2024 00:30;12.980,50;13.661,25;680,75;10.560,50
04.12.2024 00:30;04.12.2024 00:45;12.871,00;13.715,25;844,25;10.533,75
04.12.2024 00:45;04.12.2024 01:00;12.808,75;13.794,50;985,75;10.518,75
04.12.2024 01:00;04.12.2024 01:15;12.686,25;13.943,75;1.257,50;10.458,00
04.12.2024 01:15;04.12.2024 01:30;12.568,50;13.885,25;1.316,75;10.406,50
04.12.2024 01:30;04.12.2024 01:45;12.550,50;13.918,00;1.367,50;10.448,50
04.12.2024 01:45;04.12.2024 02:00;12.563,25;13.968,25;1.405,00;10.502,25
04.12.2024 02:00;04.12.2024 02:15;12.511,00;13.881,75;1.370,75;10.463,75
04.12.2024 02:15;04.12.2024 02:30;12.430,50;13.831,00;1.400,50;10.411,25
04.12.2024 02:30;04.12.2024 02:45;12.437,25;13.858,00;1.420,75;10.448,50
04.12.2024 02:45;04.12.2024 03:00;12.481,25;13.921,25;1.440,00;10.531,75
04.12.2024 03:00;04.12.2024 03:15;12.455,25;13.773,50;1.318,25;10.523,25
04.12.2024 03:15;04.12.2024 03:30;12.452,00;13.788,50;1.336,50;10.512,75
04.12.2024 03:30;04.12.2024 03:45;12.522,00;13.803,25;1.281,25;10.576,00
04.12.2024 03:45;04.12.2024 04:00;12.618,25;13.819,25;1.201,00;10.670,50
04.12.2024 04:00;04.12.2024 04:15;12.723,00;13.850,75;1.127,75;10.764,75
04.12.2024 04:15;04.12.2024 04:30;12.776,50;13.903,75;1.127,25;10.785,50
04.12.2024 04:30;04.12.2024 04:45;12.907,75;13.975,50;1.067,75;10.878,00
04.12.2024 04:45;04.12.2024 05:00;13.102,25;13.972,00;869,75;11.025,00
04.12.2024 05:00;04.12.2024 05:15;13.411,00;14.090,75;679,75;11.290,75
04.12.2024 05:15;04.12.2024 05:30;13.487,75;14.063,00;575,25;11.333,00
04.12.2024 05:30;04.12.2024 05:45;13.832,50;14.210,50;378,00;11.684,00
04.12.2024 05:45;04.12.2024 06:00;14.144,00;14.418,50;274,50;12.004,50
04.12.2024 06:00;04.12.2024 06:15;14.834,75;15.184,75;350,00;12.690,75
